timestamp,cpu_utilization,memory_utilization,session_establishment_rate,session_success_rate,n4_message_rate,ip_pool_utilization
2025-01-17 09:56:35.106449,60.89283884294506,75.42722018072439,158.74596716648878,166.32680747466944,244.31526517209008,96.97980589941893
2025-01-17 09:57:35.106449,56.78239311268724,75.51188967830075,155.8802629032327,171.45752325439676,237.53855433096328,99.42024723357672
2025-01-17 09:58:35.106449,60.433816107247715,75.20943435174782,159.23499240092977,159.58797290371567,254.7810069409526,99.14382657390357
2025-01-17 09:59:35.106449,58.87903871873316,74.89926986987227,158.93652371671072,173.37878159655537,229.2179305723217,103.93453557974671
2025-01-17 10:00:35.106449,59.3166235378408,76.99818657177238,148.77979720969057,154.47469893594115,255.956447891089,97.6101517930717
2025-01-17 10:01:35.106449,56.846147279767294,75.00350854891904,147.42183632392866,156.09181640518796,255.29487865327715,102.77949617772666
2025-01-17 10:02:35.106449,57.2338977589524,77.2220837766475,151.20380655446405,164.86430083900217,264.8601214158261,105.30120793011386
2025-01-17 10:03:35.106449,59.20630393934511,77.76440376454909,151.08585104603011,159.315064720827,235.7846964391787,98.6860672904813
2025-01-17 10:04:35.106449,57.69120490646973,73.23643356937103,136.95792210621192,156.74362547347803,257.3584981737185,99.125949838176
2025-01-17 10:05:35.106449,56.34981185084603,75.76142099906865,136.21596259843304,154.23035760309807,253.9663067415965,101.74557689635368
2025-01-17 10:06:35.106449,59.87156360181029,74.1996347033856,153.96591988959187,170.1547388624025,264.6162756843595,100.93244457730759
2025-01-17 10:07:35.106449,57.85066657710381,74.97575671928294,155.5156733919744,170.56876370916518,251.73219378745364,97.911950233791
2025-01-17 10:08:35.106449,58.06890541733904,77.75541603992193,150.80925508561918,158.77640937430183,244.61468957998187,100.6260362329218
2025-01-17 10:09:35.106449,59.70944462029191,74.88836373016258,152.41745482456426,173.9954147667786,231.7573195410236,97.5496019830492
2025-01-17 10:10:35.106449,57.915030539121354,71.47031067105083,142.43471092706073,157.53625737266546,254.62364546610291,99.87774975565472
