cpu_utilization,memory_utilization,session_establishment_rate,n4_message_rate,session_modification_rate,policy_installation_rate,pfcp_message_rate,session_success_rate,timestamp
42.544048860295455,54.8222620738808,114.78277146657354,208.41384054624277,63.881650191630385,116.47886372408144,236.48760141929355,127.92127129434422,2025-01-13 10:23:31.133476
44.57912179977711,57.79053419172651,125.1403203516401,184.87947659046463,69.729945303568,126.88596150622081,236.65536613166006,117.37925227744164,2025-01-13 10:24:31.133476
43.74571063716874,58.6258762453817,112.78105188191554,175.18322326585638,66.53387328002185,122.10710047955197,241.56159824415653,119.9040636421525,2025-01-13 10:25:31.133476
45.136186393852974,58.62986028508315,124.65931046226699,187.03239454444113,70.58404755067455,123.97397494674627,233.62405678313704,122.83539876537911,2025-01-13 10:26:31.133476
45.367916584214335,59.83797035558333,105.91465692434049,187.95012087151372,65.21419903440106,125.50546823191512,235.67122533424794,129.74188023299618,2025-01-13 10:27:31.133476
46.890334373938956,60.37249272440365,116.4069704062608,186.26169836091208,64.81381517376029,110.35629427352957,236.25906407144572,131.59481415712588,2025-01-13 10:28:31.133476
46.08360873806758,56.286750018774576,111.8476629428613,193.91375464285235,66.83758706496658,127.99734984619015,231.73757768142872,131.03462018893202,2025-01-13 10:29:31.133476
50.481511124240235,56.0179352660716,123.8280204061239,198.45431850514683,69.35376884425214,130.25683487095665,240.60778970677427,126.0913703408849,2025-01-13 10:30:31.133476
45.096557957221904,58.511180476976556,112.19985483349392,204.93009272106724,65.7374607406002,119.4352297695119,235.36999261897108,131.13205492175243,2025-01-13 10:31:31.133476
45.77677442678134,60.734863510811834,116.0863631188324,199.91819805759243,62.97868404209514,123.53618579099194,223.92066825479446,126.13716873767319,2025-01-13 10:32:31.133476
39.84788841392521,57.66846634706194,120.54668248124378,213.68180888936445,66.3586507922797,126.71455365748838,236.13800941621795,124.98340556525412,2025-01-13 10:33:31.133476
47.58704407785396,54.601908359802,111.77733903179536,195.02999826703183,70.14203032353046,129.54242451533565,241.32912012228638,132.27164253234625,2025-01-13 10:34:31.133476
44.554298182576396,61.9071990729317,121.81608357662762,210.3438814153718,61.510748867558696,125.30971725000364,233.7443895773702,129.63111676799522,2025-01-13 10:35:31.133476
44.58258906915398,61.17097672555664,112.41660077533083,192.7073329070935,62.684409972373565,129.49912395568845,234.1207190779533,120.30206108473743,2025-01-13 10:36:31.133476
45.5862216405319,64.1498868928056,115.49050731841572,201.32800730701848,62.420527554586954,127.07515741141667,222.13351931164584,127.79664605034435,2025-01-13 10:37:31.133476
44.59936899839221,60.1764652953094,121.9162235402977,192.8239138443384,62.501171158924464,114.92345684150914,210.81205047869094,134.15473031276247,2025-01-13 10:38:31.133476
46.45296309113225,60.26824093671814,125.73550136308222,206.45321411364608,59.31822641703339,112.6992143899546,227.28060310906585,126.57971671460646,2025-01-13 10:39:31.133476
47.80719353058627,57.286215555019,119.97463714983301,195.23453921252732,58.46457776987155,121.63027994216009,244.8660077621518,137.7677098911794,2025-01-13 10:40:31.133476
42.62059036150403,61.92666769385577,104.25841466604062,186.26875715439394,63.32131434752021,115.98886908725717,243.98329275314484,128.5134835232921,2025-01-13 10:41:31.133476
48.860335021133295,62.761886997518026,111.06978413330573,211.71356590288613,65.04019797801313,120.3881556154117,236.2299521359551,125.2123007083268,2025-01-13 10:42:31.133476
49.428330250254945,59.31837414318011,101.11031061522381,207.3237581889324,65.79019936657191,124.60949775234529,231.56720908657238,109.43483544748199,2025-01-13 10:43:31.133476
43.95471777989569,61.016349593667314,116.11008600758726,195.66164330772096,65.6205494660251,128.47029674529912,220.7794786140491,133.57770425613438,2025-01-13 10:44:31.133476
45.95705403894237,55.64228680691521,111.79164585289152,198.76271451771007,66.8264487746956,131.6523454716661,229.91302281136817,130.1154277522248,2025-01-13 10:45:31.133476
45.83493667889415,60.422678238999666,132.68913642150724,187.52360161893293,63.24458732728889,123.41646183205391,241.32502590232016,130.05509584534968,2025-01-13 10:46:31.133476
50.89148555991512,57.12283874726341,120.58078698401525,188.32542896080815,63.99080007445268,122.90160633582504,246.3855176122687,124.16278399528929,2025-01-13 10:47:31.133476
49.272398872735934,58.16643696352949,117.47481611838933,198.2416632818277,68.32734824689702,118.2316333069362,225.26392296069793,121.99336717264104,2025-01-13 10:48:31.133476
47.10440852001197,59.7135715531783,115.56663040257712,190.829513668265,64.76360929486634,121.42742891177328,234.9084165848904,124.81994674271493,2025-01-13 10:49:31.133476
47.18933061794188,58.48945410072943,120.54931114216218,186.17955082720752,63.10373281223077,117.4094005010467,228.36800077782235,118.81637746191923,2025-01-13 10:50:31.133476
45.80120339395894,59.22511926172852,119.14268271740255,180.67401693749227,65.06375329205979,111.83299049657099,208.62977008379835,126.02647951033379,2025-01-13 10:51:31.133476
44.51417426922095,53.66590042311241,125.18268454420654,193.7223643291313,65.96639764756303,123.7795607729937,233.1967736766153,123.25929944057843,2025-01-13 10:52:31.133476
46.638991898404484,61.02336853867274,127.82732904369753,189.28515628838613,61.335956987619326,111.17681641964636,210.08523483959166,129.0710028013545,2025-01-13 10:53:31.133476
46.16898965811774,57.34870188819214,121.06705965009083,196.8934176567255,61.914419679059314,125.27952772928496,249.79703360391676,108.84272890152177,2025-01-13 10:54:31.133476
47.01418580124563,60.11371545263744,115.13935515792654,193.6816526294837,63.78560806956032,121.43173294928954,232.68979864336887,115.2312339237474,2025-01-13 10:55:31.133476
41.83253958251447,56.4603054262428,121.23416674058625,208.62333362257124,64.19626941220123,129.4870779317897,239.63692559813396,120.8192988017007,2025-01-13 10:56:31.133476
